,,,,,Electrical % Of Total,,,Natural Gas % Of Total,,
Outpatient,1981,2003,8,"Fairbanks, Alaska",18.38%,50.41%,31.21%,0.00%,96.41%,3.59%
Primary School,1981,2003,8,"Fairbanks, Alaska",57.07%,6.31%,36.62%,0.00%,96.68%,3.32%
Quick Service Restaurant,1981,2003,8,"Fairbanks, Alaska",20.23%,9.05%,70.72%,0.00%,71.70%,28.30%
Secondary School,1981,2003,8,"Fairbanks, Alaska",49.04%,24.39%,26.58%,0.00%,98.72%,1.28%
Small Hotel,1981,2003,8,"Fairbanks, Alaska",41.31%,31.66%,27.04%,0.00%,90.89%,9.11%
Small Office,1981,2003,8,"Fairbanks, Alaska",46.80%,25.04%,28.16%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,8,"Fairbanks, Alaska",54.67%,35.69%,9.64%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,8,"Fairbanks, Alaska",64.43%,27.96%,7.61%,0.00%,100.00%,0.00%
Supermarket,1981,2003,8,"Fairbanks, Alaska",24.15%,26.30%,49.56%,0.00%,97.83%,2.17%
Warehouse,1981,2003,8,"Fairbanks, Alaska",47.87%,41.92%,10.21%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,8,"Fairbanks, Alaska",28.62%,9.52%,61.87%,0.00%,76.01%,23.99%
Hospital,2004,2020,8,"Fairbanks, Alaska",16.48%,49.05%,34.47%,0.00%,94.58%,5.42%
Large Hotel,2004,2020,8,"Fairbanks, Alaska",22.70%,38.00%,39.29%,0.00%,93.45%,6.55%
Large Office Building,2004,2020,8,"Fairbanks, Alaska",34.86%,9.45%,55.68%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,8,"Fairbanks, Alaska",26.69%,39.30%,34.01%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,8,"Fairbanks, Alaska",32.63%,10.47%,56.90%,0.00%,100.00%,0.00%
Outpatient,2004,2020,8,"Fairbanks, Alaska",16.16%,46.67%,37.17%,0.00%,95.45%,4.55%
Primary School,2004,2020,8,"Fairbanks, Alaska",48.62%,5.37%,46.01%,0.00%,95.43%,4.57%
Quick Service Restaurant,2004,2020,8,"Fairbanks, Alaska",20.67%,8.31%,71.02%,0.00%,68.59%,31.41%
Secondary School,2004,2020,8,"Fairbanks, Alaska",46.94%,22.21%,30.84%,0.00%,98.43%,1.57%
Small Hotel,2004,2020,8,"Fairbanks, Alaska",33.31%,30.41%,36.28%,0.00%,90.65%,9.35%
Small Office,2004,2020,8,"Fairbanks, Alaska",41.96%,18.29%,39.75%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,8,"Fairbanks, Alaska",57.36%,24.52%,18.13%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,8,"Fairbanks, Alaska",66.35%,18.57%,15.08%,0.00%,100.00%,0.00%
Supermarket,2004,2020,8,"Fairbanks, Alaska",19.94%,17.21%,62.85%,0.00%,97.21%,2.79%
Warehouse,2004,2020,8,"Fairbanks, Alaska",65.65%,24.33%,10.02%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,1A,"Miami, Florida",22.02%,29.65%,48.33%,0.00%,18.05%,81.95%
Hospital,2004,2020,1A,"Miami, Florida",11.93%,63.04%,25.03%,0.00%,88.83%,11.17%
Large Hotel,2004,2020,1A,"Miami, Florida",11.59%,68.30%,20.11%,0.00%,76.11%,23.89%
Large Office Building,2004,2020,1A,"Miami, Florida",22.16%,42.49%,35.35%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,1A,"Miami, Florida",29.45%,33.13%,37.42%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,1A,"Miami, Florida",22.49%,38.41%,39.10%,0.00%,100.00%,0.00%
Outpatient,2004,2020,1A,"Miami, Florida",14.03%,53.78%,32.19%,0.00%,91.96%,8.04%
Primary School,2004,2020,1A,"Miami, Florida",33.19%,35.05%,31.76%,0.00%,36.05%,63.97%
Quick Service Restaurant,2004,2020,1A,"Miami, Florida",17.13%,22.48%,60.39%,0.00%,9.34%,90.66%
Secondary School,2004,2020,1A,"Miami, Florida",18.90%,68.54%,12.56%,0.00%,53.59%,46.41%
Small Hotel,2004,2020,1A,"Miami, Florida",28.53%,40.45%,31.02%,0.00%,57.36%,42.64%
Small Office,2004,2020,1A,"Miami, Florida",31.67%,38.43%,29.90%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,1A,"Miami, Florida",40.35%,46.92%,12.73%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,1A,"Miami, Florida",49.33%,39.49%,11.18%,0.00%,100.00%,0.00%
Supermarket,2004,2020,1A,"Miami, Florida",15.97%,10.66%,73.37%,0.00%,37.24%,62.77%
Warehouse,2004,2020,1A,"Miami, Florida",44.32%,48.94%,6.75%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,2A,"Houston, Texas",23.52%,25.05%,51.43%,0.00%,33.10%,66.90%
Hospital,2004,2020,2A,"Houston, Texas",11.85%,63.31%,24.84%,0.00%,90.25%,9.75%
Large Hotel,2004,2020,2A,"Houston, Texas",13.40%,63.38%,23.22%,0.00%,81.75%,18.25%
Large Office Building,2004,2020,2A,"Houston, Texas",23.89%,37.99%,38.12%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,2A,"Houston, Texas",29.75%,32.43%,37.82%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,2A,"Houston, Texas",25.28%,30.77%,43.95%,0.00%,100.00%,0.00%
Outpatient,2004,2020,2A,"Houston, Texas",14.61%,51.86%,33.53%,0.00%,93.00%,7.00%
Primary School,2004,2020,2A,"Houston, Texas",36.53%,28.61%,34.86%,0.00%,67.87%,32.13%
Quick Service Restaurant,2004,2020,2A,"Houston, Texas",17.94%,19.20%,62.86%,0.00%,19.70%,80.30%
Secondary School,2004,2020,2A,"Houston, Texas",22.34%,62.86%,14.80%,0.00%,85.67%,14.34%
Small Hotel,2004,2020,2A,"Houston, Texas",30.88%,35.54%,33.58%,0.00%,68.20%,31.80%
Small Office,2004,2020,2A,"Houston, Texas",34.46%,33.01%,32.53%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,2A,"Houston, Texas",44.37%,41.63%,14.00%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,2A,"Houston, Texas",53.23%,34.69%,12.07%,0.00%,100.00%,0.00%
Supermarket,2004,2020,2A,"Houston, Texas",16.68%,12.06%,71.26%,0.00%,82.32%,17.68%
Warehouse,2004,2020,2A,"Houston, Texas",69.99%,19.35%,10.66%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,2B,"Phoenix, Arizona",23.28%,25.82%,50.90%,0.00%,28.95%,71.05%
Hospital,2004,2020,2B,"Phoenix, Arizona",12.14%,62.41%,25.45%,0.00%,89.27%,10.73%
Large Hotel,2004,2020,2B,"Phoenix, Arizona",14.28%,60.95%,24.76%,0.00%,79.13%,20.87%
Large Office Building,2004,2020,2B,"Phoenix, Arizona",24.36%,36.78%,38.86%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,2B,"Phoenix, Arizona",29.25%,33.57%,37.18%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,2B,"Phoenix, Arizona",23.93%,34.46%,41.61%,0.00%,100.00%,0.00%
Outpatient,2004,2020,2B,"Phoenix, Arizona",14.22%,53.14%,32.63%,0.00%,93.17%,6.83%
Primary School,2004,2020,2B,"Phoenix, Arizona",35.67%,30.28%,34.05%,0.00%,61.86%,38.15%
Quick Service Restaurant,2004,2020,2B,"Phoenix, Arizona",17.61%,20.73%,61.67%,0.00%,15.87%,84.13%
Secondary School,2004,2020,2B,"Phoenix, Arizona",21.22%,64.71%,14.07%,0.00%,81.66%,18.35%
Small Hotel,2004,2020,2B,"Phoenix, Arizona",30.56%,36.19%,33.24%,0.00%,64.95%,35.05%
Small Office,2004,2020,2B,"Phoenix, Arizona",32.32%,37.16%,30.52%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,2B,"Phoenix, Arizona",43.86%,42.30%,13.84%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,2B,"Phoenix, Arizona",52.78%,35.25%,11.97%,0.00%,100.00%,0.00%
Supermarket,2004,2020,2B,"Phoenix, Arizona",17.71%,14.10%,68.20%,0.00%,82.71%,17.29%
Warehouse,2004,2020,2B,"Phoenix, Arizona",63.96%,26.30%,9.75%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,3A,"Atlanta, Georgia",25.58%,18.70%,55.72%,0.00%,43.14%,56.86%
Hospital,2004,2020,3A,"Atlanta, Georgia",12.31%,61.92%,25.78%,0.00%,90.54%,9.46%
Large Hotel,2004,2020,3A,"Atlanta, Georgia",15.03%,58.95%,26.03%,0.00%,85.07%,14.93%
Large Office Building,2004,2020,3A,"Atlanta, Georgia",26.38%,31.53%,42.09%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,3A,"Atlanta, Georgia",32.19%,26.90%,40.92%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,3A,"Atlanta, Georgia",28.36%,22.33%,49.32%,0.00%,100.00%,0.00%
Outpatient,2004,2020,3A,"Atlanta, Georgia",15.38%,49.32%,35.30%,0.00%,93.66%,6.34%
Primary School,2004,2020,3A,"Atlanta, Georgia",41.48%,19.04%,39.48%,0.00%,77.39%,22.61%
Quick Service Restaurant,2004,2020,3A,"Atlanta, Georgia",19.12%,14.35%,66.53%,0.00%,28.10%,71.90%
Secondary School,2004,2020,3A,"Atlanta, Georgia",28.52%,52.63%,18.85%,0.00%,91.45%,8.55%
Small Hotel,2004,2020,3A,"Atlanta, Georgia",33.52%,30.04%,36.45%,0.00%,74.03%,25.98%
Small Office,2004,2020,3A,"Atlanta, Georgia",38.50%,25.15%,36.35%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,3A,"Atlanta, Georgia",51.07%,32.83%,16.11%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,3A,"Atlanta, Georgia",59.03%,27.58%,13.39%,0.00%,100.00%,0.00%
Supermarket,2004,2020,3A,"Atlanta, Georgia",18.17%,11.03%,70.80%,0.00%,89.40%,10.60%
Warehouse,2004,2020,3A,"Atlanta, Georgia",73.46%,15.35%,11.19%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,3C,"Los Angeles, California",27.57%,12.35%,60.08%,0.00%,29.93%,70.07%
Hospital,2004,2020,3C,"Los Angeles, California",13.26%,58.96%,27.78%,0.00%,90.37%,9.63%
Large Hotel,2004,2020,3C,"Los Angeles, California",16.63%,54.55%,28.81%,0.00%,82.79%,17.21%
Large Office Building,2004,2020,3C,"Los Angeles, California",28.19%,26.82%,44.99%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,3C,"Los Angeles, California",36.68%,16.68%,46.64%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,3C,"Los Angeles, California",30.92%,15.28%,53.79%,0.00%,100.00%,0.00%
Outpatient,2004,2020,3C,"Los Angeles, California",16.95%,44.15%,38.90%,0.00%,93.62%,6.38%
Primary School,2004,2020,3C,"Los Angeles, California",44.55%,13.05%,42.41%,0.00%,56.51%,43.50%
Quick Service Restaurant,2004,2020,3C,"Los Angeles, California",20.12%,9.81%,70.07%,0.00%,14.99%,85.01%
Secondary School,2004,2020,3C,"Los Angeles, California",34.34%,42.96%,22.70%,0.00%,78.28%,21.73%
Small Hotel,2004,2020,3C,"Los Angeles, California",35.44%,26.02%,38.54%,0.00%,68.25%,31.75%
Small Office,2004,2020,3C,"Los Angeles, California",41.04%,20.20%,38.76%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,3C,"Los Angeles, California",58.00%,23.70%,18.30%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,3C,"Los Angeles, California",65.88%,19.18%,14.94%,0.00%,100.00%,0.00%
Supermarket,2004,2020,3C,"Los Angeles, California",18.86%,7.44%,73.70%,0.00%,84.84%,15.16%
Warehouse,2004,2020,3C,"Los Angeles, California",82.12%,5.37%,12.52%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,3B,"Las Vegas, Nevada",24.44%,22.28%,53.28%,0.00%,35.95%,64.05%
Hospital,2004,2020,3B,"Las Vegas, Nevada",12.93%,59.99%,27.08%,0.00%,89.18%,10.82%
Large Hotel,2004,2020,3B,"Las Vegas, Nevada",16.41%,55.15%,28.44%,0.00%,82.08%,17.92%
Large Office Building,2004,2020,3B,"Las Vegas, Nevada",28.08%,27.11%,44.81%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,3B,"Las Vegas, Nevada",31.70%,28.00%,40.30%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,3B,"Las Vegas, Nevada",26.41%,27.65%,45.94%,0.00%,100.00%,0.00%
Outpatient,2004,2020,3B,"Las Vegas, Nevada",14.53%,52.13%,33.34%,0.00%,92.89%,7.11%
Primary School,2004,2020,3B,"Las Vegas, Nevada",39.07%,23.71%,37.23%,0.00%,68.19%,31.81%
Quick Service Restaurant,2004,2020,3B,"Las Vegas, Nevada",18.37%,17.60%,64.03%,0.00%,21.16%,78.84%
Secondary School,2004,2020,3B,"Las Vegas, Nevada",27.01%,55.11%,17.87%,0.00%,86.40%,13.60%
Small Hotel,2004,2020,3B,"Las Vegas, Nevada",32.97%,31.17%,35.86%,0.00%,69.79%,30.21%
Small Office,2004,2020,3B,"Las Vegas, Nevada",37.55%,26.97%,35.47%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,3B,"Las Vegas, Nevada",51.22%,32.62%,16.16%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,3B,"Las Vegas, Nevada",57.39%,29.59%,13.02%,0.00%,100.00%,0.00%
Supermarket,2004,2020,3B,"Las Vegas, Nevada",19.14%,12.80%,68.06%,0.00%,88.14%,11.86%
Warehouse,2004,2020,3B,"Las Vegas, Nevada",73.70%,15.08%,11.23%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,3C,"San Francisco, California",28.36%,10.05%,61.59%,0.00%,43.25%,56.75%
Hospital,2004,2020,3C,"San Francisco, California",13.73%,57.53%,28.74%,0.00%,91.75%,8.25%
Large Hotel,2004,2020,3C,"San Francisco, California",19.32%,47.22%,33.45%,0.00%,85.38%,14.62%
Large Office Building,2004,2020,3C,"San Francisco, California",31.17%,19.10%,49.73%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,3C,"San Francisco, California",34.92%,20.68%,44.40%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,3C,"San Francisco, California",32.59%,10.73%,56.69%,0.00%,100.00%,0.00%
Outpatient,2004,2020,3C,"San Francisco, California",17.82%,41.27%,40.90%,0.00%,94.18%,5.82%
Primary School,2004,2020,3C,"San Francisco, California",46.28%,9.77%,43.95%,0.00%,78.37%,21.63%
Quick Service Restaurant,2004,2020,3C,"San Francisco, California",20.36%,9.13%,70.51%,0.00%,24.30%,75.70%
Secondary School,2004,2020,3C,"San Francisco, California",39.52%,34.42%,26.06%,0.00%,90.85%,9.15%
Small Hotel,2004,2020,3C,"San Francisco, California",37.49%,21.73%,40.78%,0.00%,74.94%,25.07%
Small Office,2004,2020,3C,"San Francisco, California",42.68%,17.01%,40.31%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,3C,"San Francisco, California",66.03%,13.15%,20.83%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,3C,"San Francisco, California",69.50%,14.74%,15.76%,0.00%,100.00%,0.00%
Supermarket,2004,2020,3C,"San Francisco, California",19.95%,7.89%,72.16%,0.00%,91.31%,8.69%
Warehouse,2004,2020,3C,"San Francisco, California",81.61%,5.95%,12.44%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,4A,"Baltimore, Maryland",26.29%,16.59%,57.12%,0.00%,53.43%,46.57%
Hospital,2004,2020,4A,"Baltimore, Maryland",12.38%,61.71%,25.91%,0.00%,91.60%,8.40%
Large Hotel,2004,2020,4A,"Baltimore, Maryland",16.14%,55.92%,27.94%,0.00%,87.56%,12.45%
Large Office Building,2004,2020,4A,"Baltimore, Maryland",27.19%,29.42%,43.39%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,4A,"Baltimore, Maryland",30.81%,30.01%,39.18%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,4A,"Baltimore, Maryland",29.90%,18.09%,52.01%,0.00%,100.00%,0.00%
Outpatient,2004,2020,4A,"Baltimore, Maryland",15.45%,49.10%,35.46%,0.00%,94.04%,5.96%
Primary School,2004,2020,4A,"Baltimore, Maryland",42.84%,16.44%,40.71%,0.00%,85.68%,14.32%
Quick Service Restaurant,2004,2020,4A,"Baltimore, Maryland",19.45%,13.11%,67.44%,0.00%,38.84%,61.16%
Secondary School,2004,2020,4A,"Baltimore, Maryland",30.92%,48.67%,20.41%,0.00%,94.87%,5.13%
Small Hotel,2004,2020,4A,"Baltimore, Maryland",34.88%,27.18%,37.94%,0.00%,79.27%,20.74%
Small Office,2004,2020,4A,"Baltimore, Maryland",39.08%,24.01%,36.91%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,4A,"Baltimore, Maryland",53.29%,29.90%,16.81%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,4A,"Baltimore, Maryland",61.27%,24.84%,13.90%,0.00%,100.00%,0.00%
Supermarket,2004,2020,4A,"Baltimore, Maryland",18.90%,11.41%,69.70%,0.00%,92.79%,7.21%
Warehouse,2004,2020,4A,"Baltimore, Maryland",72.89%,16.00%,11.11%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,4B,"Albuquerque, New Mexico",26.17%,16.97%,56.86%,0.00%,46.44%,53.56%
Hospital,2004,2020,4B,"Albuquerque, New Mexico",14.21%,56.05%,29.75%,0.00%,88.40%,11.60%
Large Hotel,2004,2020,4B,"Albuquerque, New Mexico",19.14%,47.72%,33.14%,0.00%,86.51%,13.49%
Large Office Building,2004,2020,4B,"Albuquerque, New Mexico",30.63%,20.49%,48.88%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,4B,"Albuquerque, New Mexico",33.26%,24.45%,42.29%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,4B,"Albuquerque, New Mexico",30.06%,17.65%,52.29%,0.00%,100.00%,0.00%
Outpatient,2004,2020,4B,"Albuquerque, New Mexico",14.98%,50.64%,34.38%,0.00%,93.40%,6.60%
Primary School,2004,2020,4B,"Albuquerque, New Mexico",43.33%,15.50%,41.18%,0.00%,80.49%,19.51%
Quick Service Restaurant,2004,2020,4B,"Albuquerque, New Mexico",19.47%,13.06%,67.47%,0.00%,31.41%,68.59%
Secondary School,2004,2020,4B,"Albuquerque, New Mexico",35.49%,41.09%,23.42%,0.00%,92.58%,7.42%
Small Hotel,2004,2020,4B,"Albuquerque, New Mexico",35.25%,26.41%,38.34%,0.00%,76.10%,23.90%
Small Office,2004,2020,4B,"Albuquerque, New Mexico",39.56%,23.07%,37.37%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,4B,"Albuquerque, New Mexico",55.01%,27.64%,17.35%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,4B,"Albuquerque, New Mexico",62.50%,23.32%,14.18%,0.00%,100.00%,0.00%
Supermarket,2004,2020,4B,"Albuquerque, New Mexico",19.82%,12.13%,68.04%,0.00%,91.54%,8.46%
Warehouse,2004,2020,4B,"Albuquerque, New Mexico",72.44%,16.52%,11.04%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,4C,"Seattle, Washington",28.25%,10.47%,61.28%,0.00%,52.92%,47.08%
Hospital,2004,2020,4C,"Seattle, Washington",13.88%,57.08%,29.04%,0.00%,91.57%,8.43%
Large Hotel,2004,2020,4C,"Seattle, Washington",20.05%,45.26%,34.70%,0.00%,87.70%,12.30%
Large Office Building,2004,2020,4C,"Seattle, Washington",32.55%,15.50%,51.95%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,4C,"Seattle, Washington",33.68%,23.49%,42.84%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,4C,"Seattle, Washington",33.52%,8.14%,58.34%,0.00%,100.00%,0.00%
Outpatient,2004,2020,4C,"Seattle, Washington",17.53%,42.20%,40.26%,0.00%,94.24%,5.76%
Primary School,2004,2020,4C,"Seattle, Washington",47.88%,6.69%,45.43%,0.00%,83.51%,16.49%
Quick Service Restaurant,2004,2020,4C,"Seattle, Washington",20.42%,9.03%,70.55%,0.00%,35.61%,64.39%
Secondary School,2004,2020,4C,"Seattle, Washington",43.63%,27.62%,28.75%,0.00%,94.60%,5.40%
Small Hotel,2004,2020,4C,"Seattle, Washington",38.49%,19.64%,41.87%,0.00%,78.99%,21.01%
Small Office,2004,2020,4C,"Seattle, Washington",42.66%,17.01%,40.33%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,4C,"Seattle, Washington",61.15%,19.55%,19.30%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,4C,"Seattle, Washington",68.69%,15.73%,15.59%,0.00%,100.00%,0.00%
Supermarket,2004,2020,4C,"Seattle, Washington",20.25%,9.32%,70.43%,0.00%,93.47%,6.53%
Warehouse,2004,2020,4C,"Seattle, Washington",80.07%,7.73%,12.21%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,5A,"Chicago, Illinois",26.97%,14.51%,58.52%,0.00%,59.39%,40.61%
Hospital,2004,2020,5A,"Chicago, Illinois",13.27%,58.95%,27.78%,0.00%,91.98%,8.02%
Large Hotel,2004,2020,5A,"Chicago, Illinois",17.28%,52.82%,29.90%,0.00%,89.26%,10.74%
Large Office Building,2004,2020,5A,"Chicago, Illinois",30.10%,21.87%,48.03%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,5A,"Chicago, Illinois",31.10%,29.36%,39.54%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,5A,"Chicago, Illinois",30.92%,15.29%,53.79%,0.00%,100.00%,0.00%
Outpatient,2004,2020,5A,"Chicago, Illinois",16.06%,47.07%,36.87%,0.00%,94.25%,5.75%
Primary School,2004,2020,5A,"Chicago, Illinois",44.43%,13.39%,42.18%,0.00%,88.76%,11.24%
Quick Service Restaurant,2004,2020,5A,"Chicago, Illinois",19.77%,11.84%,68.39%,0.00%,46.54%,53.46%
Secondary School,2004,2020,5A,"Chicago, Illinois",34.13%,43.37%,22.50%,0.00%,96.07%,3.93%
Small Hotel,2004,2020,5A,"Chicago, Illinois",35.48%,25.93%,38.59%,0.00%,82.46%,17.54%
Small Office,2004,2020,5A,"Chicago, Illinois",39.82%,22.57%,37.61%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,5A,"Chicago, Illinois",55.01%,27.63%,17.36%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,5A,"Chicago, Illinois",63.76%,21.78%,14.46%,0.00%,100.00%,0.00%
Supermarket,2004,2020,5A,"Chicago, Illinois",19.34%,11.86%,68.80%,0.00%,94.20%,5.80%
Warehouse,2004,2020,5A,"Chicago, Illinois",70.93%,18.26%,10.81%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,5B,"Boulder, Colorado",26.87%,14.85%,58.28%,0.00%,53.50%,46.50%
Hospital,2004,2020,5B,"Boulder, Colorado",14.50%,55.15%,30.35%,0.00%,89.45%,10.55%
Large Hotel,2004,2020,5B,"Boulder, Colorado",19.81%,45.92%,34.28%,0.00%,88.46%,11.54%
Large Office Building,2004,2020,5B,"Boulder, Colorado",31.96%,17.04%,51.00%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,5B,"Boulder, Colorado",33.51%,23.87%,42.62%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,5B,"Boulder, Colorado",31.66%,13.25%,55.09%,0.00%,100.00%,0.00%
Outpatient,2004,2020,5B,"Boulder, Colorado",15.49%,48.95%,35.56%,0.00%,93.59%,6.41%
Primary School,2004,2020,5B,"Boulder, Colorado",45.65%,11.02%,43.33%,0.00%,85.41%,14.60%
Quick Service Restaurant,2004,2020,5B,"Boulder, Colorado",19.81%,11.75%,68.44%,0.00%,39.27%,60.73%
Secondary School,2004,2020,5B,"Boulder, Colorado",39.37%,34.69%,25.94%,0.00%,94.71%,5.29%
Small Hotel,2004,2020,5B,"Boulder, Colorado",36.31%,24.19%,39.50%,0.00%,79.99%,20.01%
Small Office,2004,2020,5B,"Boulder, Colorado",40.90%,20.46%,38.64%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,5B,"Boulder, Colorado",56.98%,25.04%,17.98%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,5B,"Boulder, Colorado",65.54%,19.60%,14.87%,0.00%,100.00%,0.00%
Supermarket,2004,2020,5B,"Boulder, Colorado",20.11%,13.01%,66.88%,0.00%,93.28%,6.72%
Warehouse,2004,2020,5B,"Boulder, Colorado",70.48%,18.78%,10.74%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,6A,"Minneapolis, Minnesota",27.15%,13.99%,58.86%,0.00%,63.95%,36.05%
Hospital,2004,2020,6A,"Minneapolis, Minnesota",13.83%,57.22%,28.94%,0.00%,92.52%,7.48%
Large Hotel,2004,2020,6A,"Minneapolis, Minnesota",17.88%,51.18%,30.94%,0.00%,90.51%,9.49%
Large Office Building,2004,2020,6A,"Minneapolis, Minnesota",30.56%,20.68%,48.76%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,6A,"Minneapolis, Minnesota",29.75%,32.41%,37.84%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,6A,"Minneapolis, Minnesota",30.89%,15.35%,53.75%,0.00%,100.00%,0.00%
Outpatient,2004,2020,6A,"Minneapolis, Minnesota",15.86%,47.74%,36.40%,0.00%,94.58%,5.42%
Primary School,2004,2020,6A,"Minneapolis, Minnesota",45.22%,11.89%,42.90%,0.00%,91.74%,8.26%
Quick Service Restaurant,2004,2020,6A,"Minneapolis, Minnesota",19.87%,11.49%,68.63%,0.00%,52.75%,47.25%
Secondary School,2004,2020,6A,"Minneapolis, Minnesota",35.96%,40.35%,23.69%,0.00%,97.07%,2.93%
Small Hotel,2004,2020,6A,"Minneapolis, Minnesota",34.76%,27.44%,37.80%,0.00%,84.93%,15.07%
Small Office,2004,2020,6A,"Minneapolis, Minnesota",40.12%,21.97%,37.91%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,6A,"Minneapolis, Minnesota",55.41%,27.10%,17.49%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,6A,"Minneapolis, Minnesota",64.46%,20.91%,14.63%,0.00%,100.00%,0.00%
Supermarket,2004,2020,6A,"Minneapolis, Minnesota",19.42%,12.66%,67.92%,0.00%,95.13%,4.87%
Warehouse,2004,2020,6A,"Minneapolis, Minnesota",69.54%,19.86%,10.60%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,6B,"Helena, Montana",27.57%,12.74%,59.69%,0.00%,60.69%,39.31%
Hospital,2004,2020,6B,"Helena, Montana",14.91%,53.90%,31.19%,0.00%,91.02%,8.98%
Large Hotel,2004,2020,6B,"Helena, Montana",20.78%,43.26%,35.96%,0.00%,90.15%,9.85%
Large Office Building,2004,2020,6B,"Helena, Montana",33.11%,14.04%,52.85%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,6B,"Helena, Montana",31.81%,27.74%,40.45%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,6B,"Helena, Montana",32.41%,11.20%,56.40%,0.00%,100.00%,0.00%
Outpatient,2004,2020,6B,"Helena, Montana",15.92%,47.53%,36.55%,0.00%,94.15%,5.85%
Primary School,2004,2020,6B,"Helena, Montana",47.19%,8.09%,44.73%,0.00%,89.84%,10.17%
Quick Service Restaurant,2004,2020,6B,"Helena, Montana",20.14%,10.48%,69.38%,0.00%,48.00%,52.00%
